,Population,Females,Males,Deaths,Average Speed,Normalized AvgSpeed,Average Smarts,Average Lifespan
0,500,444,556,0,1.984,66.13333333,50.57,76
1,500,444,556,0,1.984,66.13333333,50.57,72.036
2,500,444,556,0,1.984,66.13333333,50.57,68.786
3,500,444,556,0,1.984,66.13333333,50.57,66.334
4,500,444,556,0,1.984,66.13333333,50.57,64.68
5,500,444,556,0,1.984,66.13333333,50.57,63.68
6,534,465,569,8,1.975655431,65.85518102,50.49625468,56.90636704
7,534,465,569,8,1.975655431,65.85518102,50.49625468,55.66853933
8,561,473,588,12,1.975044563,65.83481878,50.27629234,50.83778966
9,562,469,593,47,1.928825623,64.29418743,49.58007117,50.23487544
10,598,490,608,74,1.901337793,63.37792642,48.54347826,44.93311037
11,598,490,608,74,1.901337793,63.37792642,48.54347826,43.47157191
12,597,485,612,128,1.874371859,62.47906198,48.23785595,44.48241206
13,596,485,611,130,1.880872483,62.69574944,48.47315436,43.55369128
14,602,485,617,142,1.872093023,62.40310078,48.14784053,41.79069767
15,589,475,614,198,1.838709677,61.29032258,49.86247878,42.86078098
